track name=MIP_candidates description="MIP_candidates" visibility=1 color=0,255,0
chr17	9804201	9804373
chr17	9804375	9804473
chr19	12937402	12937417
chr19	12939601	12939559
chr1	17256763	17256820
chr1	17263113	17263303
chr1	17263388	17263305
chr1	17264876	17264956
chr1	17264998	17264974
chr1	17270576	17270791
chr1	17279996	17279948
chr1	17297138	17297251
chr12	27470496	27470556
chr12	27470558	27470654
chr5	38258838	38258911
chr5	38352453	38352428
chr5	38407949	38407995
chr5	38438358	38438572
chr19	55538927	55539174
chr19	55539250	55539209
chr19	55574317	55574475
chr19	55574475	55574576
chr19	55575645	55575787
chr19	55580671	55580933
chr3	56601101	56601081
chr3	56605350	56605347
chr3	56647798	56647772
chr3	56655541	56655650
chr6	90603969	90604083
chr6	90604085	90604194
chrX	108719185	108719130
chr12	109727927	109728105
chr7	129414706	129414892
chr1	186417741	186417789
chr1	186417876	186417842
chr2	202531115	202531109
chr2	202531301	202531410
chr2	220493671	220493718
chr2	220493813	220493742
chr2	220496997	220497037
chr2	220505133	220505286
chr2	220505341	220505287
